month,grid_id,lon,lat,chla_mg_m3,n_valid_pixels,n_pixels_total,valid_pixel_fraction,sst_c,sst_anomaly_c,u10_m_s,v10_m_s,wind_speed_m_s,wind_direction_from_deg,chla_observed,predictors_complete,model_complete
2003-01-01,G025_R380_C1132,103.125,-5.125,0.1084424815295992,36,36,1.0,29.388709160589404,0.7999999732259782,1.4678726196289062,-0.8086318969726562,1.675868602324724,298.8497960414752,True,True,True
2003-01-01,G025_R380_C1133,103.375,-5.125,0.1394648127140454,36,36,1.0,29.47161219196935,0.9009677200548112,1.3580093383789062,-0.6953506469726562,1.525680794061984,297.1141133167115,True,True,True
2003-01-01,G025_R380_C1134,103.625,-5.125,0.2363591014760524,36,36,1.0,29.547741305443548,0.994193527006334,1.3902359008789062,-0.3042373657226562,1.4231360563187363,282.3439352153185,True,True,True
2003-01-01,G025_R380_C1135,103.875,-5.125,0.5440380105798259,23,36,0.6388888888888888,29.56774127098822,1.0348386889503849,0.9878921508789062,0.0736923217773437,0.9906368961718957,265.7338931310679,True,True,True
2003-01-01,G025_R380_C1143,105.875,-5.125,2.665797344565493,18,36,0.5,29.21128968269594,0.8006451391885357,1.3775405883789062,-0.4932022094726562,1.4631700147488031,289.69894084540334,True,True,True
2003-01-01,G025_R380_C1144,106.125,-5.125,1.473804575852037,36,36,1.0,29.15451560481902,0.7558064258266841,2.6680679321289062,-0.7729873657226562,2.7777861613201025,286.15725510686985,True,True,True
2003-01-01,G025_R380_C1145,106.375,-5.125,0.8653935179190021,36,36,1.0,29.08451547930317,0.6970967586122213,3.611915588378906,-0.9272842407226562,3.729046832726445,284.39854067409584,True,True,True
2003-01-01,G025_R380_C1146,106.625,-5.125,0.8431718466021604,36,36,1.0,29.016450881958008,0.6338709506296343,4.281837463378906,-1.0605850219726562,4.411232554698046,283.9118187118797,True,True,True
2003-01-01,G025_R380_C1147,106.875,-5.125,1.0403069238956195,36,36,1.0,28.994837976271107,0.6083870806520985,4.732032775878906,-1.1455459594726562,4.868717463280896,283.60854144757434,True,True,True
2003-01-01,G025_R381_C1132,103.125,-5.375,0.0976937072021688,36,36,1.0,29.22322525516633,0.6412903057231057,1.6622085571289062,-0.6865615844726562,1.7984171086447562,292.44267034042537,True,True,True
2003-01-01,G025_R381_C1133,103.375,-5.375,0.114674534242246,36,36,1.0,29.32580578711725,0.7554838522788017,1.6949234008789062,-0.8208389282226562,1.8832264550320643,295.84056529145573,True,True,True
