month,n_grid,n_chla,availability,chla_mean,chla_median,sst_mean,wind_speed_mean
2003-01-01,148,148,1,0.2873148304257933,0.13553606768364435,29.002943975154274,2.612341740403503
2003-02-01,148,148,1,0.39982133968950745,0.1365709210330793,28.687484897241628,4.196870150634466
2003-03-01,148,148,1,0.4067940810990541,0.210474435311381,28.644589596243662,0.4935868684278643
2003-04-01,148,148,1,0.2972949647220042,0.1680561227434561,29.81731687021685,2.783074585515483
2003-05-01,148,148,1,0.3281752212348438,0.16385715998657968,29.24508435183644,3.4884100022777313
2003-06-01,148,148,1,0.4850379994174077,0.34201678305932204,28.56492053925454,5.72263721212293
2003-07-01,148,148,1,1.3274644081283973,1.0438407312869793,26.989354252503453,7.130930450090634
2003-08-01,148,148,1,0.8771233833938652,0.7682146102792377,26.762002452727288,6.668927167055948
2003-09-01,148,148,1,0.48057453356941393,0.3723767317320742,27.91750389734904,6.7955867630387505
2003-10-01,148,133,0.8986486486486487,0.26733103331514774,0.2194043288428338,28.241607917529556,5.501487743314455
2003-11-01,148,143,0.9662162162162162,0.34102738397680643,0.2135580665103653,28.41717054049174,4.120506016008827
2003-12-01,148,148,1,0.3843060686006628,0.1581641365003355,28.196581766931722,1.7443868165325065
2004-01-01,148,148,1,0.5128401168247733,0.23526469315213727,28.542168095513023,1.1135876559307323
2004-02-01,148,132,0.8918918918918919,0.5868884844868598,0.29376378238113054,28.351982140696617,4.127255064510582
2004-03-01,148,148,1,0.3349624061539584,0.15000989021556388,28.68091699530378,3.6732154973590823
2004-04-01,148,148,1,0.3435251963886018,0.17086534464109882,29.40755339871656,3.9696812477717676
2004-05-01,148,148,1,0.29778932007588765,0.12785035514581544,28.959404330931235,2.6388644974200677
2004-06-01,148,148,1,0.3582993558781994,0.20221212203057043,28.85637999440099,4.816124700673687
2004-07-01,148,148,1,0.3930651884179316,0.20594835811294732,28.346950125257763,4.552479667426498
2004-08-01,148,148,1,0.5007238135035259,0.376026518588201,27.773737401056,7.339632336891424
2004-09-01,148,148,1,0.4040812385730142,0.3486324614528509,28.15499487223926,6.331063754950939
2004-10-01,148,148,1,0.3694885114761805,0.2713576858068453,27.90158177461433,6.178486777889688
2004-11-01,148,126,0.8513513513513513,0.34355191014027037,0.18838007806384383,28.640373226543804,4.096797913689818
2004-12-01,148,148,1,0.2845875809271476,0.13138452275449636,28.417495012075463,1.633797860775105
2005-01-01,148,148,1,0.34369201367385926,0.10314794122177146,28.751984979135635,2.245115253505354
