month,grid_id,lon,lat,chla_mg_m3,n_valid_pixels,n_pixels_total,valid_pixel_fraction,source_status
2003-01-01,G025_R380_C1132,103.125,-5.125,0.10844248152959926,36,36,1.0,ok
2003-01-01,G025_R380_C1133,103.375,-5.125,0.13946481271404548,36,36,1.0,ok
2003-01-01,G025_R380_C1134,103.625,-5.125,0.2363591014760524,36,36,1.0,ok
2003-01-01,G025_R380_C1135,103.875,-5.125,0.5440380105798259,23,36,0.6388888888888888,ok
2003-01-01,G025_R380_C1143,105.875,-5.125,2.665797344565493,18,36,0.5,ok
2003-01-01,G025_R380_C1144,106.125,-5.125,1.473804575852037,36,36,1.0,ok
2003-01-01,G025_R380_C1145,106.375,-5.125,0.8653935179190021,36,36,1.0,ok
2003-01-01,G025_R380_C1146,106.625,-5.125,0.8431718466021604,36,36,1.0,ok
2003-01-01,G025_R380_C1147,106.875,-5.125,1.0403069238956197,36,36,1.0,ok
2003-01-01,G025_R381_C1132,103.125,-5.375,0.0976937072021688,36,36,1.0,ok
2003-01-01,G025_R381_C1133,103.375,-5.375,0.11467453424224602,36,36,1.0,ok
2003-01-01,G025_R381_C1134,103.625,-5.375,0.1361671909603135,36,36,1.0,ok
2003-01-01,G025_R381_C1135,103.875,-5.375,0.2592084595590849,36,36,1.0,ok
2003-01-01,G025_R381_C1143,105.875,-5.375,1.4235625428889422,24,36,0.6666666666666666,ok
2003-01-01,G025_R381_C1144,106.125,-5.375,0.7287807429084132,36,36,1.0,ok
2003-01-01,G025_R381_C1145,106.375,-5.375,0.7403581419433987,36,36,1.0,ok
2003-01-01,G025_R381_C1146,106.625,-5.375,0.7333016771693788,36,36,1.0,ok
2003-01-01,G025_R381_C1147,106.875,-5.375,0.7695596174449967,36,36,1.0,ok
2003-01-01,G025_R382_C1132,103.125,-5.625,0.09800205610837731,36,36,1.0,ok
2003-01-01,G025_R382_C1133,103.375,-5.625,0.10513011093588218,36,36,1.0,ok
2003-01-01,G025_R382_C1134,103.625,-5.625,0.1278669980655208,36,36,1.0,ok
2003-01-01,G025_R382_C1135,103.875,-5.625,0.14680839975980586,36,36,1.0,ok
2003-01-01,G025_R382_C1136,104.125,-5.625,0.1980200653316398,36,36,1.0,ok
2003-01-01,G025_R382_C1138,104.625,-5.625,0.5370946038300207,27,36,0.75,ok
2003-01-01,G025_R382_C1141,105.375,-5.625,0.5984524784281456,29,36,0.8055555555555556,ok
2003-01-01,G025_R382_C1143,105.875,-5.625,0.9473494063743608,27,36,0.75,ok
2003-01-01,G025_R382_C1144,106.125,-5.625,0.5500443077182399,36,36,1.0,ok
2003-01-01,G025_R382_C1145,106.375,-5.625,0.5574393829901311,36,36,1.0,ok
2003-01-01,G025_R382_C1146,106.625,-5.625,0.567394324686145,36,36,1.0,ok
2003-01-01,G025_R382_C1147,106.875,-5.625,0.5660307349299897,36,36,1.0,ok
2003-01-01,G025_R383_C1132,103.125,-5.875,0.10093539586515664,36,36,1.0,ok
2003-01-01,G025_R383_C1133,103.375,-5.875,0.0953669629294627,36,36,1.0,ok
2003-01-01,G025_R383_C1134,103.625,-5.875,0.1096266478967801,36,36,1.0,ok
2003-01-01,G025_R383_C1135,103.875,-5.875,0.12486521188886031,36,36,1.0,ok
2003-01-01,G025_R383_C1136,104.125,-5.875,0.1478191209178249,36,36,1.0,ok
2003-01-01,G025_R383_C1137,104.375,-5.875,0.28848075812489365,36,36,1.0,ok
2003-01-01,G025_R383_C1139,104.875,-5.875,0.3082135641460104,36,36,1.0,ok
2003-01-01,G025_R383_C1140,105.125,-5.875,0.35057912232699595,36,36,1.0,ok
2003-01-01,G025_R383_C1141,105.375,-5.875,0.4712860462648172,36,36,1.0,ok
2003-01-01,G025_R383_C1142,105.625,-5.875,0.4513943593747884,30,36,0.8333333333333334,ok
2003-01-01,G025_R383_C1143,105.875,-5.875,0.5811102158505451,36,36,1.0,ok
2003-01-01,G025_R383_C1144,106.125,-5.875,0.9986908227055703,31,36,0.8611111111111112,ok
2003-01-01,G025_R383_C1145,106.375,-5.875,1.1144158994836446,36,36,1.0,ok
2003-01-01,G025_R383_C1146,106.625,-5.875,1.0881708392347964,36,36,1.0,ok
2003-01-01,G025_R383_C1147,106.875,-5.875,1.3202056663417479,36,36,1.0,ok
2003-01-01,G025_R384_C1132,103.125,-6.125,0.1190972453126385,36,36,1.0,ok
2003-01-01,G025_R384_C1133,103.375,-6.125,0.12402839726780122,36,36,1.0,ok
2003-01-01,G025_R384_C1134,103.625,-6.125,0.12199389861216244,36,36,1.0,ok
2003-01-01,G025_R384_C1135,103.875,-6.125,0.13266048408047623,36,36,1.0,ok
2003-01-01,G025_R384_C1136,104.125,-6.125,0.14667754297858854,36,36,1.0,ok
2003-01-01,G025_R384_C1137,104.375,-6.125,0.1966949295734693,36,36,1.0,ok
2003-01-01,G025_R384_C1138,104.625,-6.125,0.2429600903111268,36,36,1.0,ok
2003-01-01,G025_R384_C1139,104.875,-6.125,0.250365273321156,36,36,1.0,ok
2003-01-01,G025_R384_C1140,105.125,-6.125,0.25568129957458136,36,36,1.0,ok
2003-01-01,G025_R384_C1141,105.375,-6.125,0.3390772147363671,36,36,1.0,ok
2003-01-01,G025_R384_C1142,105.625,-6.125,0.3516976610719415,36,36,1.0,ok
2003-01-01,G025_R385_C1132,103.125,-6.375,0.1109781678180077,36,36,1.0,ok
2003-01-01,G025_R385_C1133,103.375,-6.375,0.11361485366322138,36,36,1.0,ok
2003-01-01,G025_R385_C1134,103.625,-6.375,0.11380548686450562,36,36,1.0,ok
2003-01-01,G025_R385_C1135,103.875,-6.375,0.1261033844037563,36,36,1.0,ok
2003-01-01,G025_R385_C1136,104.125,-6.375,0.13490494440697526,36,36,1.0,ok
2003-01-01,G025_R385_C1137,104.375,-6.375,0.1284778081600963,36,36,1.0,ok
2003-01-01,G025_R385_C1138,104.625,-6.375,0.1723537336290741,36,36,1.0,ok
2003-01-01,G025_R385_C1139,104.875,-6.375,0.2163531881396561,36,36,1.0,ok
2003-01-01,G025_R385_C1140,105.125,-6.375,0.21096529636687003,36,36,1.0,ok
2003-01-01,G025_R385_C1141,105.375,-6.375,0.22868573839709097,36,36,1.0,ok
2003-01-01,G025_R385_C1142,105.625,-6.375,0.32873275784949796,36,36,1.0,ok
2003-01-01,G025_R386_C1132,103.125,-6.625,0.09986595457721886,36,36,1.0,ok
2003-01-01,G025_R386_C1133,103.375,-6.625,0.1064391582663894,36,36,1.0,ok
2003-01-01,G025_R386_C1134,103.625,-6.625,0.10732319906472655,36,36,1.0,ok
2003-01-01,G025_R386_C1135,103.875,-6.625,0.11217167262087106,36,36,1.0,ok
2003-01-01,G025_R386_C1136,104.125,-6.625,0.12207550430344838,36,36,1.0,ok
2003-01-01,G025_R386_C1137,104.375,-6.625,0.1234015119537035,36,36,1.0,ok
2003-01-01,G025_R386_C1138,104.625,-6.625,0.14423387572749416,36,36,1.0,ok
2003-01-01,G025_R386_C1139,104.875,-6.625,0.15464991906489675,36,36,1.0,ok
2003-01-01,G025_R386_C1141,105.375,-6.625,0.2763844782498483,35,36,0.9722222222222222,ok
2003-01-01,G025_R387_C1132,103.125,-6.875,0.10294193089299544,36,36,1.0,ok
2003-01-01,G025_R387_C1133,103.375,-6.875,0.10372231741141624,36,36,1.0,ok
2003-01-01,G025_R387_C1134,103.625,-6.875,0.10185530625015204,36,36,1.0,ok
2003-01-01,G025_R387_C1135,103.875,-6.875,0.10250521975535432,36,36,1.0,ok
